season,club_name,short_name,country,source_type
2021-22,Atalanta,Atalanta,Italy,verified_public
2021-22,Bologna,Bologna,Italy,verified_public
2021-22,Cagliari,Cagliari,Italy,verified_public
2021-22,Empoli,Empoli,Italy,verified_public
2021-22,Fiorentina,Fiorentina,Italy,verified_public
2021-22,Genoa,Genoa,Italy,verified_public
2021-22,Hellas Verona,Verona,Italy,verified_public
2021-22,Inter,Inter,Italy,verified_public
2021-22,Juventus,Juventus,Italy,verified_public
2021-22,Lazio,Lazio,Italy,verified_public
2021-22,Milan,Milan,Italy,verified_public
2021-22,Napoli,Napoli,Italy,verified_public
2021-22,Roma,Roma,Italy,verified_public
2021-22,Salernitana,Salernitana,Italy,verified_public
2021-22,Sampdoria,Sampdoria,Italy,verified_public
2021-22,Sassuolo,Sassuolo,Italy,verified_public
2021-22,Spezia,Spezia,Italy,verified_public
2021-22,Torino,Torino,Italy,verified_public
2021-22,Udinese,Udinese,Italy,verified_public
2021-22,Venezia,Venezia,Italy,verified_public
2022-23,Atalanta,Atalanta,Italy,verified_public
2022-23,Bologna,Bologna,Italy,verified_public
2022-23,Cremonese,Cremonese,Italy,verified_public
2022-23,Empoli,Empoli,Italy,verified_public
2022-23,Fiorentina,Fiorentina,Italy,verified_public
2022-23,Hellas Verona,Verona,Italy,verified_public
2022-23,Inter,Inter,Italy,verified_public
2022-23,Juventus,Juventus,Italy,verified_public
2022-23,Lazio,Lazio,Italy,verified_public
2022-23,Lecce,Lecce,Italy,verified_public
2022-23,Milan,Milan,Italy,verified_public
2022-23,Monza,Monza,Italy,verified_public
2022-23,Napoli,Napoli,Italy,verified_public
2022-23,Roma,Roma,Italy,verified_public
2022-23,Salernitana,Salernitana,Italy,verified_public
2022-23,Sampdoria,Sampdoria,Italy,verified_public
2022-23,Sassuolo,Sassuolo,Italy,verified_public
2022-23,Spezia,Spezia,Italy,verified_public
2022-23,Torino,Torino,Italy,verified_public
2022-23,Udinese,Udinese,Italy,verified_public
2023-24,Atalanta,Atalanta,Italy,verified_public
2023-24,Bologna,Bologna,Italy,verified_public
2023-24,Cagliari,Cagliari,Italy,verified_public
2023-24,Empoli,Empoli,Italy,verified_public
2023-24,Fiorentina,Fiorentina,Italy,verified_public
2023-24,Frosinone,Frosinone,Italy,verified_public
2023-24,Genoa,Genoa,Italy,verified_public
2023-24,Hellas Verona,Verona,Italy,verified_public
2023-24,Inter,Inter,Italy,verified_public
2023-24,Juventus,Juventus,Italy,verified_public
2023-24,Lazio,Lazio,Italy,verified_public
2023-24,Lecce,Lecce,Italy,verified_public
2023-24,Milan,Milan,Italy,verified_public
2023-24,Monza,Monza,Italy,verified_public
2023-24,Napoli,Napoli,Italy,verified_public
2023-24,Roma,Roma,Italy,verified_public
2023-24,Salernitana,Salernitana,Italy,verified_public
2023-24,Sassuolo,Sassuolo,Italy,verified_public
2023-24,Torino,Torino,Italy,verified_public
2023-24,Udinese,Udinese,Italy,verified_public
2024-25,Atalanta,Atalanta,Italy,verified_public
2024-25,Bologna,Bologna,Italy,verified_public
2024-25,Cagliari,Cagliari,Italy,verified_public
2024-25,Como,Como,Italy,verified_public
2024-25,Empoli,Empoli,Italy,verified_public
2024-25,Fiorentina,Fiorentina,Italy,verified_public
2024-25,Genoa,Genoa,Italy,verified_public
2024-25,Hellas Verona,Verona,Italy,verified_public
2024-25,Inter,Inter,Italy,verified_public
2024-25,Juventus,Juventus,Italy,verified_public
2024-25,Lazio,Lazio,Italy,verified_public
2024-25,Lecce,Lecce,Italy,verified_public
2024-25,Milan,Milan,Italy,verified_public
2024-25,Monza,Monza,Italy,verified_public
2024-25,Napoli,Napoli,Italy,verified_public
2024-25,Parma,Parma,Italy,verified_public
2024-25,Roma,Roma,Italy,verified_public
2024-25,Torino,Torino,Italy,verified_public
2024-25,Udinese,Udinese,Italy,verified_public
2024-25,Venezia,Venezia,Italy,verified_public
2025-26,Atalanta,Atalanta,Italy,verified_public
2025-26,Bologna,Bologna,Italy,verified_public
2025-26,Cagliari,Cagliari,Italy,verified_public
2025-26,Como,Como,Italy,verified_public
2025-26,Cremonese,Cremonese,Italy,verified_public
2025-26,Fiorentina,Fiorentina,Italy,verified_public
2025-26,Genoa,Genoa,Italy,verified_public
2025-26,Hellas Verona,Verona,Italy,verified_public
2025-26,Inter,Inter,Italy,verified_public
2025-26,Juventus,Juventus,Italy,verified_public
2025-26,Lazio,Lazio,Italy,verified_public
2025-26,Lecce,Lecce,Italy,verified_public
2025-26,Milan,Milan,Italy,verified_public
2025-26,Napoli,Napoli,Italy,verified_public
2025-26,Parma,Parma,Italy,verified_public
2025-26,Pisa,Pisa,Italy,verified_public
2025-26,Roma,Roma,Italy,verified_public
2025-26,Sassuolo,Sassuolo,Italy,verified_public
2025-26,Torino,Torino,Italy,verified_public
2025-26,Udinese,Udinese,Italy,verified_public
