season,competition_scope,player_name,nationality,position,squad,age,born,appearances,starts,minutes,nineties,goals,assists,penalty_goals,penalty_attempts,own_goals,yellow_cards,red_cards,xg,npxg,xag,progressive_carries,progressive_passes,progressive_receives,shots,shots_on_target,passes_completed,passes_attempted,pass_accuracy,key_passes,crosses,tackles,tackles_won,interceptions,clearances,errors,touches,touches_att_pen,dribbles_attempted,dribbles_completed,carries,passes_into_final_third,carries_into_final_third,shot_creating_actions,goal_creating_actions,recoveries,fouls_committed,fouls_drawn,aerial_duels_won,aerial_duels_lost,clean_sheets,goals_conceded,saves,penalties_saved,source_dataset
2023-24,serie_a_league,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,8,2,242,2.7,1,0,0,0,,1,0,0.6,0.6,0.1,6.0,4.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,29,26,2388,26.5,3,1,0,0,,1,0,1.6,1.6,1.8,21.0,87.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,24,17,1407,15.6,1,2,0,0,,3,0,0.3,0.3,2.2,30.0,125.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,36,26,2230,24.8,0,1,0,0,,8,0,1.1,1.1,1.5,26.0,125.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,1,0,5,0.1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,1,0,10,0.1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18.0,2004.0,1,0,15,0.2,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30.0,1992.0,19,8,705,7.8,0,0,0,0,,5,0,0.5,0.5,0.1,11.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,David Akpan Ankeye,ng NGA,FW,Genoa,21.0,2002.0,6,0,57,0.6,0,0,0,0,,0,0,0.0,0.0,0.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Luis Alberto,es ESP,MF,Lazio,30.0,1992.0,33,29,2311,25.7,5,7,0,0,,7,0,4.7,4.7,4.7,83.0,212.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Carlos Alcaraz,ar ARG,MF,Juventus,20.0,2002.0,10,3,380,4.2,0,1,0,0,,0,0,0.4,0.4,0.1,6.0,27.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Pontus Almqvist,se SWE,"FW,MF",Lecce,24.0,1999.0,30,25,2107,23.4,2,1,0,0,,5,0,2.3,2.3,2.7,72.0,32.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Lorenzo Amatucci,it ITA,MF,Fiorentina,19.0,2004.0,2,0,22,0.2,0,0,0,0,,0,0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Bruno Amione,ar ARG,DF,Hellas Verona,21.0,2002.0,10,7,579,6.4,0,0,0,0,,2,0,0.3,0.3,0.0,2.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Felipe Anderson,br BRA,"FW,MF",Lazio,30.0,1993.0,38,33,2770,30.8,5,6,0,0,,3,0,4.4,4.4,6.3,108.0,126.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Angeliño,es ESP,DF,Roma,26.0,1997.0,16,14,1141,12.7,0,1,0,0,,2,0,0.2,0.2,1.6,12.0,40.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Houssem Aouar,dz ALG,"MF,FW",Roma,25.0,1998.0,16,9,756,8.4,4,0,0,0,,3,0,2.3,2.3,0.5,17.0,26.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Simone Aresti,it ITA,GK,Cagliari,37.0,1986.0,1,0,1,0.0,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Marko Arnautović,at AUT,FW,Inter,34.0,1989.0,27,5,801,8.9,5,3,0,0,,0,0,5.0,5.0,2.6,12.0,20.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Kristjan Asllani,al ALB,MF,Inter,21.0,2002.0,23,6,787,8.7,1,2,0,0,,1,0,0.6,0.6,1.1,5.0,32.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Emil Audero,it ITA,GK,Inter,26.0,1997.0,4,4,337,3.7,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Tommaso Augello,it ITA,DF,Cagliari,28.0,1994.0,32,28,2418,26.9,1,1,0,0,,5,0,0.5,0.5,2.0,62.0,96.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Carlos Augusto,br BRA,DF,Inter,24.0,1999.0,37,14,1725,19.2,0,3,0,0,,1,0,1.0,1.0,2.8,42.0,54.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Yann Aurel Bisseck,de GER,DF,Inter,22.0,2000.0,16,9,904,10.0,2,0,0,0,,0,0,0.9,0.9,0.5,24.0,30.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Sardar Azmoun,ir IRN,"FW,MF",Roma,28.0,1995.0,23,3,585,6.5,3,0,0,0,,4,0,2.9,2.9,1.4,5.0,14.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Paulo Azzi,br BRA,"DF,MF",Cagliari,29.0,1994.0,25,9,950,10.6,0,0,0,0,,1,0,1.2,1.2,0.7,47.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Oussama El Azzouzi,ma MAR,MF,Bologna,22.0,2001.0,18,5,547,6.1,2,2,0,0,,4,0,0.5,0.5,0.6,4.0,19.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Milan Badelj,hr CRO,MF,Genoa,34.0,1989.0,33,32,2535,28.2,1,3,0,0,,6,0,1.4,1.4,1.1,18.0,151.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Jaime Báez,uy URU,"FW,MF",Frosinone,28.0,1995.0,11,6,500,5.6,1,0,0,0,,1,0,0.5,0.5,0.5,12.0,29.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Nicola Bagnolini,it ITA,GK,Bologna,19.0,2004.0,1,0,5,0.1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24.0,1999.0,28,15,1310,14.6,2,2,0,0,,0,0,2.5,2.5,2.2,51.0,49.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Mitchel Bakker,nl NED,DF,Atalanta,23.0,2000.0,14,3,382,4.2,1,0,0,0,,1,0,0.2,0.2,0.1,12.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20.0,2003.0,14,8,745,8.3,2,0,0,0,,1,0,2.1,2.1,1.0,20.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
2023-24,serie_a_league,Tommaso Baldanzi,it ITA,"FW,MF",Roma,20.0,2003.0,13,6,518,5.8,0,0,0,0,,2,0,0.9,0.9,0.7,18.0,14.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Football Players Stats Top 5 Leagues 2023-24
